Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Drugs","No","","64102","Terminated","Fresenius Kabi USA LLC (FK USA)","1501 E Woodfield Rd","Suite 300 East","Schaumburg","IL","	60173-6052","United States","Voluntary: Firm initiated","Letter","Nationwide","D-915-2013","Class II","IRINOTECAN HYDROCHLORIDE INJECTION, 40 mg/2 mL (20 mg/mL), 2 mL Single Dose Vial, Rx only, Manufactured for: APP Pharmaceuticals, LLC,  Schaumburg, IL 60173, NDC 63323-193-02, UPC 3 63323 19302 7.","23,672 vials","Crystallization: Active pharmaceutical ingredient is precipitating in product solution.","01/22/2013","08/21/2013","05/12/2015","08/28/2013","Lot #: 872CZ00101, Exp 12/13"
"Drugs","No","","64643","Terminated","Teva Pharmaceuticals USA, Inc.","650 Cathill Rd","N/A","Sellersville","PA","	18960-1512","United States","Voluntary: Firm initiated","Letter","Nationwide and Puerto Rico","D-689-2013","Class III","Errin (norethindrone tablets, USP), 0.35 mg, 6 blister cards per carton, 28 tablets each, 28 day regimen, Rx Only, Teva Pharmaceuticals USA, Sellersville, PA 18960, NDC 0555-0344-58","154,536 cartons","Failed Impurity/Degradation Specification; an impurity identified as N-Butyl-Benzene Sulfonamide (NBBS) was detected during impurity testing","03/15/2013","07/11/2013","01/15/2014","07/17/2013","Lot #s: 33801773A, Exp 7/14; 33801774A, Exp 8/14; 33801775A, 33801776A, Exp 9/14; 33802427A, 33802428A, 33802429A, 33802430A, Exp 12/14; 33802925A, 33802926A, Exp 3/15; 33803383A, 33803384A, 33803385A,  33803387A, 33803685A, Exp 6/15."
"Drugs","No","","64643","Terminated","Teva Pharmaceuticals USA, Inc.","650 Cathill Rd","N/A","Sellersville","PA","	18960-1512","United States","Voluntary: Firm initiated","Letter","Nationwide and Puerto Rico","D-690-2013","Class III","Camila (norethindrone tablets, USP), 0.35 mg, 6 blister cards per carton, 28 tablets each, 28 day regimen, Rx Only, Teva Pharmaceuticals USA, Sellersville, PA 18960, NDC 0555-0715-58","59,240 Cartons","Failed Impurity/Degradation Specification; an impurity identified as N-Butyl-Benzene Sulfonamide (NBBS) was detected during impurity testing","03/15/2013","07/11/2013","01/15/2014","07/17/2013","Lot #s: 33802107A, 33802108A, Exp 9/13; 33802109A, 33802110A,  33802111A, 33802112A, Exp10/13; 33802560A, Exp 1/14."
"Drugs","No","","64644","Terminated","Teva Pharmaceuticals USA, Inc.","650 Cathill Rd","N/A","Sellersville","PA","	18960-1512","United States","Voluntary: Firm initiated","Letter","Nationwide distribution.  No foreign or government accounts.","D-681-2013","Class III","Lessina(R) (Levonorgestrel and ethinyl estradiol tablets, USP) 0.1 mg/0.02 mg, 28 day regimen, Rx only, Barr Laboratories Inc., Pomona, NY --- NDC 0555-9014-67","148,785 blister packs","Failed Impurity/Degradation Specification; an impurity identified as N-Butyl-Benzene Sulfonamide (NBBS) was detected during impurity testing","03/15/2013","07/05/2013","04/10/2014","07/17/2013","NDC 0555-9014-67, Lot numbers 33802921A, exp 8/2013; 33803173A, exp 10/2013; 33803695A, exp 2/2014; and 33803942A, exp 3/2014."
"Drugs","No","","64644","Terminated","Teva Pharmaceuticals USA, Inc.","650 Cathill Rd","N/A","Sellersville","PA","	18960-1512","United States","Voluntary: Firm initiated","Letter","Nationwide distribution.  No foreign or government accounts.","D-682-2013","Class III","Junel(TM) Fe 1.5/30 (norethindrone acetate and ethinyl estradiol tablets, USP and ferrous fumarate tablets), 28 day regimen, Rx only, Barr laboratories, Pomona, NY --- NDC 0555-9028-58","47,200 blister packs","Failed Impurity/Degradation Specification; an impurity identified as N-Butyl-Benzene Sulfonamide (NBBS) was detected during impurity testing","03/15/2013","07/05/2013","04/10/2014","07/17/2013","NDC 0555-9028-58, Lot numbers 33802123A, exp 4/2013; 33802202A, exp 5/2013; 33802203A, exp 5/2013; and 33802204A, exp 5/2013."
"Drugs","No","","64644","Terminated","Teva Pharmaceuticals USA, Inc.","650 Cathill Rd","N/A","Sellersville","PA","	18960-1512","United States","Voluntary: Firm initiated","Letter","Nationwide distribution.  No foreign or government accounts.","D-683-2013","Class III","Jolessa(R) (levonorgestrel/ethinyl estradiol tablets, USP) 0.15 mg/0.03 mg, 91 day regimen, Rx only, Manufactured by Barr Laboratories, Inc., Pomona, NY, manufactured for TEVA Pharmaceuticals USA, Sellersville, PA ---NDC 0555-9123-66","54,412 blister packs","Failed Impurity/Degradation Specification; an impurity identified as N-Butyl-Benzene Sulfonamide (NBBS) was detected during impurity testing","03/15/2013","07/05/2013","04/10/2014","07/17/2013","NDC 0555-9123-66, Lot numbers 33802986A, exp 9/2013; 33802991A, exp 7/2013; and 33803270A, exp 10/2013."
"Drugs","No","","64644","Terminated","Teva Pharmaceuticals USA, Inc.","650 Cathill Rd","N/A","Sellersville","PA","	18960-1512","United States","Voluntary: Firm initiated","Letter","Nationwide distribution.  No foreign or government accounts.","D-684-2013","Class III","Balziva(TM) (norethindrone and ethinyl estradiol tablets, USP) 0.15 mg/0.03 mg, 28 day regimen, Rx only, Barr Laboratories, Inc., Pomona, NY --- NDC 0555-9034-58","36,708 blister packs","Failed Impurity/Degradation Specification; an impurity identified as N-Butyl-Benzene Sulfonamide (NBBS) was detected during impurity testing","03/15/2013","07/05/2013","04/10/2014","07/17/2013","NDC 0555-9034-58, Lot numbers 33802100A, exp 3/2013; 33802266A, exp 3/2013; and 33802832A, exp 8/2013."
"Drugs","No","","64716","Terminated","Pallimed Solutions","400 W Cummings Park","N/A","Woburn","MA","	01801-6519","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide","D-857-2013","Class II","Acetylcysteine Ophthalmic Solution, compounded by Pallimed Solutions Pharmacy, Woburn, MA","1 vial","Lack of Assurance of Sterility; FDA inspectional findings resulted in concerns associated with quality control procedures that impacted sterility assurance","03/25/2013","08/09/2013","08/21/2013","08/21/2013","All lots within expiry"
"Drugs","No","","64716","Terminated","Pallimed Solutions","400 W Cummings Park","N/A","Woburn","MA","	01801-6519","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide","D-858-2013","Class II","Alprostadil IN NS Injection, compounded by Pallimed Solutions Pharmacy, Woburn, MA","408 vials","Lack of Assurance of Sterility; FDA inspectional findings resulted in concerns associated with quality control procedures that impacted sterility assurance","03/25/2013","08/09/2013","08/21/2013","08/21/2013","All lots within expiry"
"Drugs","No","","64716","Terminated","Pallimed Solutions","400 W Cummings Park","N/A","Woburn","MA","	01801-6519","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide","D-859-2013","Class II","Atropine Injection, compounded by Pallimed Solutions Pharmacy, Woburn, MA","N/A","Lack of Assurance of Sterility; FDA inspectional findings resulted in concerns associated with quality control procedures that impacted sterility assurance","03/25/2013","08/09/2013","08/21/2013","08/21/2013","All lots within expiry"
"Drugs","No","","64716","Terminated","Pallimed Solutions","400 W Cummings Park","N/A","Woburn","MA","	01801-6519","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide","D-860-2013","Class II","Bacteriostatic Water for Injection, compounded by Pallimed Solutions Pharmacy, Woburn, MA","N/A","Lack of Assurance of Sterility; FDA inspectional findings resulted in concerns associated with quality control procedures that impacted sterility assurance","03/25/2013","08/09/2013","08/21/2013","08/21/2013","All lots within expiry"
"Drugs","No","","64716","Terminated","Pallimed Solutions","400 W Cummings Park","N/A","Woburn","MA","	01801-6519","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide","D-861-2013","Class II","BiMix Injection, compounded by Pallimed Solutions Pharmacy, Woburn, MA","246 vials","Lack of Assurance of Sterility; FDA inspectional findings resulted in concerns associated with quality control procedures that impacted sterility assurance","03/25/2013","08/09/2013","08/21/2013","08/21/2013","All lots within expiry"
"Drugs","No","","64716","Terminated","Pallimed Solutions","400 W Cummings Park","N/A","Woburn","MA","	01801-6519","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide","D-862-2013","Class II","Buprenorphine HCl Veterinary Injection,  compounded by Pallimed Solutions Pharmacy, Woburn, MA","71 vials","Lack of Assurance of Sterility; FDA inspectional findings resulted in concerns associated with quality control procedures that impacted sterility assurance","03/25/2013","08/09/2013","08/21/2013","08/21/2013","All lots within expiry"
"Drugs","No","","64716","Terminated","Pallimed Solutions","400 W Cummings Park","N/A","Woburn","MA","	01801-6519","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide","D-863-2013","Class II","Cidofovir Opthalmic Solution, compounded by Pallimed Solutions Pharmacy, Woburn, MA","23 vials","Lack of Assurance of Sterility; FDA inspectional findings resulted in concerns associated with quality control procedures that impacted sterility assurance","03/25/2013","08/09/2013","08/21/2013","08/21/2013","All lots within expiry"
"Drugs","No","","64716","Terminated","Pallimed Solutions","400 W Cummings Park","N/A","Woburn","MA","	01801-6519","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide","D-864-2013","Class II","Cyclosporine Ophthalmic, compounded by Pallimed Solutions Pharmacy, Woburn, MA","N/A","Lack of Assurance of Sterility; FDA inspectional findings resulted in concerns associated with quality control procedures that impacted sterility assurance","03/25/2013","08/09/2013","08/21/2013","08/21/2013","All lots within expiry"
